StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1090,16,0,2,1,1,10,0,2,0,0,1,1,2.2297401841747666,3.0
1091,18,0,3,1,3,26,0,1,0,0,0,1,0.1947432807455151,4.0
1092,18,1,0,2,7,0,0,2,1,1,0,0,3.5069200713692137,0.0
1093,16,0,0,2,9,1,1,3,0,0,0,0,3.552286943350944,0.0
1094,16,0,3,2,7,16,1,3,0,1,0,0,2.23849135429023,3.0
1095,16,1,0,1,6,4,0,1,1,1,0,0,2.7084723438568763,2.0
1096,16,1,2,3,19,29,0,3,0,0,0,1,0.7329082339013866,4.0
1097,16,1,1,1,12,29,0,4,0,0,1,0,0.9654824453045304,4.0
1098,18,0,0,2,0,5,0,2,0,1,0,0,2.5552328599380942,2.0
1099,16,0,0,3,8,25,0,2,1,0,1,1,0.7443222999212357,4.0
1100,15,0,0,1,17,24,0,2,0,0,0,0,0.7220565813951911,4.0
1101,17,1,2,1,6,23,1,1,1,1,0,1,1.2712295298373406,4.0
1102,16,1,0,3,1,6,0,3,1,0,1,1,2.52614214142023,2.0
1103,16,0,1,1,15,27,0,3,1,1,0,0,0.9424153953595232,4.0
1104,18,1,0,2,12,20,1,2,0,1,0,0,1.515639098395023,4.0
1105,16,1,1,0,11,29,0,3,1,0,0,0,0.6482739267081915,4.0
1106,16,1,2,2,1,14,0,3,0,1,1,1,2.0488500821388604,3.0
1107,16,0,3,1,2,18,0,0,1,0,0,1,0.8422959992571388,4.0
1108,18,1,0,0,12,15,0,1,0,1,0,0,1.4641879236906472,4.0
1109,16,1,2,2,4,24,1,3,1,1,0,0,1.487946865169799,4.0
1110,17,0,2,1,10,12,1,4,0,0,0,0,2.587565796370635,2.0
1111,18,0,1,1,10,4,1,3,0,0,0,0,3.2208069781948727,1.0
1112,17,1,3,0,5,2,1,4,0,0,1,0,3.5451594318003106,0.0
1113,18,1,0,1,18,2,0,2,0,0,0,0,3.0895989530746477,1.0
1114,16,0,0,1,16,18,1,1,0,1,1,0,1.919956439918208,4.0
1115,17,0,2,0,14,13,1,2,0,0,0,0,2.198593184586961,3.0
1116,18,1,0,3,1,15,0,0,0,0,0,1,0.8782126167627767,4.0
1117,15,1,2,0,2,21,0,3,1,0,1,0,1.340368647512407,4.0
1118,16,1,2,2,9,16,0,4,0,0,0,0,1.8195113357139088,4.0
1119,18,1,0,1,3,26,0,3,0,1,0,0,0.6193509314675341,4.0
1120,15,0,2,1,19,3,0,2,1,0,1,1,3.619460869693516,0.0
1121,18,1,0,3,3,12,1,1,1,1,0,0,2.17490279620988,3.0
1122,15,1,1,1,9,7,1,1,0,1,1,0,2.974406014911044,2.0
1123,16,0,1,4,7,18,0,2,0,0,0,0,0.9807358437488028,4.0
1124,17,1,3,1,12,4,0,3,0,0,0,0,3.101673809015105,1.0
1125,15,0,0,2,2,1,1,2,1,0,1,0,3.4982573417733205,1.0
1126,18,1,0,2,8,14,0,4,1,0,0,0,2.590553445052984,2.0
1127,16,1,1,3,5,1,0,3,1,0,0,0,3.5350037581843186,0.0
1128,15,0,2,2,17,10,1,1,0,1,0,0,2.8199217452931866,2.0
1129,18,0,1,2,0,12,1,1,1,1,0,0,2.0165967745176614,3.0
1130,18,1,0,1,18,22,1,3,0,0,0,0,1.3711850388917164,4.0
1131,18,1,0,1,16,9,0,1,0,0,0,0,2.1047955879699045,3.0
1132,15,1,0,3,5,2,0,3,0,0,0,0,3.030439088696523,1.0
1133,15,0,2,1,15,4,1,2,0,1,0,0,3.58242187231196,0.0
1134,15,1,0,1,0,2,0,1,1,0,0,0,2.4265467060392454,3.0
1135,17,0,0,2,19,5,1,2,1,0,0,0,3.161436270258364,1.0
1136,15,0,3,1,10,12,0,2,1,0,0,0,2.122638529628868,3.0
1137,15,1,0,4,6,9,0,3,0,1,0,0,2.204860580997317,3.0
1138,15,0,3,2,7,18,0,0,1,0,1,1,1.182987500498048,4.0
1139,17,1,1,2,1,7,0,3,1,0,0,0,2.7387957163436,2.0
1140,15,1,2,3,19,17,1,3,0,0,0,0,2.2379013009826028,3.0
1141,18,1,0,0,0,2,0,3,1,0,0,0,3.139481546380388,1.0
1142,15,1,0,1,13,23,1,0,1,1,0,0,1.0460447710800969,4.0
1143,18,1,2,2,8,23,1,3,0,0,0,0,0.8164582452137992,4.0
1144,18,0,2,1,18,16,0,2,1,0,1,0,2.03354462052118,3.0
1145,18,0,2,2,4,7,1,2,1,1,0,0,2.432078522782237,3.0
1146,17,1,0,3,10,9,0,3,1,0,0,0,2.6597713195279016,2.0
1147,17,1,2,2,9,1,1,2,1,0,0,1,3.588887939765012,0.0
1148,17,0,2,1,14,11,0,3,0,1,0,0,2.3145876278110027,3.0
1149,15,0,1,4,1,22,0,1,1,1,0,1,1.00722582021403,4.0
1150,18,0,2,2,3,5,0,3,1,0,0,0,2.8816123214605245,2.0
1151,17,0,2,2,4,1,0,1,0,1,1,0,2.804504928911685,2.0
1152,17,1,1,1,14,20,1,3,0,1,0,0,1.7629211240998668,4.0
1153,15,1,0,3,3,22,0,4,1,0,0,1,1.11991126295732,4.0
1154,17,0,0,2,11,23,0,2,0,0,0,0,1.0306575057198797,4.0
1155,15,1,0,2,4,2,0,2,1,0,0,0,3.0756193536614336,1.0
1156,16,0,0,3,17,16,1,3,1,1,0,0,2.631434065124418,2.0
1157,17,1,0,1,18,28,0,0,0,1,1,1,0.5030669073279145,4.0
1158,16,0,0,2,10,6,0,2,0,0,0,0,2.784237837142815,2.0
1159,15,1,0,3,7,28,0,2,0,0,0,0,0.2476267650865634,4.0
1160,18,0,0,1,4,20,0,3,0,0,0,1,1.189548769618786,4.0
1161,17,0,2,2,0,4,1,3,1,0,0,1,3.3759940088028397,1.0
1162,15,1,3,3,5,22,1,3,0,0,0,0,1.293573556445951,4.0
1163,18,0,0,2,13,0,1,3,0,0,1,1,3.7185869042869646,0.0
1164,18,1,3,2,10,7,0,3,1,0,0,0,2.670559614819829,2.0
1165,16,1,1,3,18,11,1,2,1,0,0,0,2.369648013449619,3.0
1166,15,0,0,3,7,13,0,2,0,1,0,0,1.6244868202221543,4.0
1167,18,1,0,1,13,15,1,2,1,1,0,0,2.5374768278143587,2.0
1168,17,1,1,0,9,9,0,4,0,1,0,0,2.298417928509479,3.0
1169,17,1,2,2,10,14,0,3,1,0,0,0,2.2598041504961186,3.0
1170,16,1,2,2,5,20,0,2,0,1,0,0,1.3213433008698847,4.0
1171,18,1,0,2,9,23,0,3,0,1,0,0,0.9499742281238568,4.0
1172,15,0,0,2,9,25,0,2,1,0,0,1,0.818786616073051,4.0
1173,17,1,0,1,14,14,1,3,0,0,0,0,2.3392245127535936,3.0
1174,18,1,0,2,18,9,0,2,0,1,0,0,2.6827762879633723,2.0
1175,18,1,0,1,6,20,1,1,1,0,0,0,1.543837471085622,4.0
1176,16,1,0,2,0,27,0,3,1,0,0,0,0.1969011048236224,4.0
1177,17,1,2,2,9,6,0,3,0,0,0,0,2.748610257448085,2.0
1178,17,0,3,1,10,25,1,2,1,0,1,0,1.1048937876999445,4.0
1179,15,1,0,1,3,2,0,2,1,0,0,0,2.553439811443938,2.0
1180,17,0,3,2,15,1,0,3,1,0,0,1,3.2742334588098787,1.0
1181,15,0,0,2,19,5,1,3,0,0,0,0,3.1860603780389143,1.0
1182,17,0,0,1,18,20,0,3,1,0,0,0,1.722115750240589,4.0
1183,16,0,0,4,3,8,0,2,1,1,0,0,2.3380463575903736,3.0
1184,17,1,1,2,17,9,1,4,1,1,0,0,3.273998748434336,1.0
1185,15,0,3,4,14,3,0,3,0,0,0,0,2.993502391205279,2.0
1186,15,0,1,2,9,26,1,3,1,0,0,0,0.8963978990233954,4.0
1187,16,1,0,2,10,2,0,3,0,0,0,0,2.9610552588035977,2.0
1188,17,1,1,3,16,8,0,1,1,0,0,0,2.6743510954520984,2.0
1189,17,1,0,2,9,23,0,0,1,1,0,0,1.2178731513333656,4.0
1190,16,0,2,2,7,21,1,3,0,0,0,0,1.36559111032951,4.0
1191,17,1,1,1,9,16,0,2,0,0,0,1,1.5222748446854282,4.0
1192,17,1,0,2,11,13,1,3,0,0,0,0,2.2314023973705024,3.0
1193,15,0,1,1,3,9,0,2,1,0,0,0,2.135266354890094,3.0
1194,17,1,1,1,18,12,0,2,0,0,0,0,2.255698914963147,3.0
1195,17,1,0,0,13,11,1,1,1,0,1,0,2.751145787611705,2.0
1196,16,1,1,0,12,26,0,3,1,1,0,0,0.8976341586164038,4.0
1197,16,1,0,4,1,0,0,1,1,0,0,1,3.117354434785501,1.0
1198,18,0,2,1,12,27,0,3,1,0,1,0,1.2875951312580094,4.0
1199,15,1,2,2,2,21,0,2,0,0,0,0,0.5710530980330257,4.0
1200,17,1,2,3,1,28,0,3,1,0,0,0,0.5813557994949716,4.0
1201,17,0,1,2,10,18,0,1,0,0,1,0,1.6434624040739565,4.0
1202,18,1,1,1,8,18,0,1,0,0,0,0,1.2348440407820207,4.0
1203,17,0,0,2,11,5,0,3,0,1,0,1,2.968093619579765,2.0
1204,15,1,2,2,1,12,0,2,1,0,0,0,2.009298479722319,3.0
1205,18,0,0,2,8,18,0,1,1,0,0,0,1.146086034129592,4.0
1206,15,0,0,2,3,12,1,4,0,0,0,0,2.1923631978552875,3.0
1207,18,0,0,4,19,26,1,1,1,0,0,0,0.94573087329995,4.0
1208,18,0,0,2,11,25,0,2,1,0,0,0,0.5672500284902902,4.0
1209,16,1,1,1,13,21,0,1,0,0,0,0,0.9707643470928292,4.0
1210,15,0,0,2,6,20,1,2,1,0,1,1,1.6560601255004677,4.0
1211,17,1,2,0,1,3,0,2,0,0,1,0,2.8393132491560324,2.0
1212,17,0,0,3,19,23,0,1,0,0,1,1,0.189818059909026,4.0
1213,15,0,0,1,5,1,0,3,1,0,0,0,3.25829468502287,1.0
1214,17,0,1,1,8,14,1,2,0,0,0,0,1.9200558526588956,4.0
1215,17,1,0,3,12,11,0,3,0,0,0,0,2.0217714943693785,3.0
1216,15,0,0,2,0,29,1,1,1,0,0,0,0.1259330746249498,4.0
1217,18,1,2,1,16,26,1,2,1,0,0,0,1.2870134123902284,4.0
1218,15,1,0,2,10,6,0,0,1,0,1,0,2.591426703229313,2.0
1219,18,1,2,3,5,19,1,3,0,0,0,0,1.4633796485356,4.0
1220,17,1,0,1,1,17,0,3,0,0,0,0,1.465549386433812,4.0
1221,17,1,0,3,3,22,0,3,1,1,0,1,1.710466837709535,4.0
1222,17,1,2,0,17,12,0,2,0,1,0,1,2.288505685252231,3.0
1223,16,1,0,2,13,16,0,3,0,0,1,0,1.9609688486532324,4.0
1224,18,1,0,3,4,3,0,3,0,0,0,0,2.6216233262773407,2.0
1225,16,1,0,1,1,24,0,0,1,0,0,0,0.7683163859836675,4.0
1226,16,0,0,2,13,13,0,1,0,0,1,0,1.8064063454058108,4.0
1227,15,0,2,1,11,19,0,2,0,0,0,0,0.88186635307777,4.0
1228,16,0,0,2,8,27,0,3,0,1,0,0,0.8170682206563473,4.0
1229,15,0,2,2,7,12,1,0,0,0,0,0,1.4461325277019692,4.0
1230,15,0,2,2,4,2,0,3,0,1,0,0,3.339094362200312,1.0
1231,16,1,0,1,13,25,0,2,0,0,0,0,0.8196254779474454,4.0
1232,18,1,3,1,19,25,0,2,0,0,0,0,0.6768179731112823,4.0
1233,18,1,0,0,3,17,0,1,0,1,0,1,1.3895448744649723,4.0
1234,18,1,3,1,11,13,0,2,0,1,0,1,1.9915084140251773,4.0
1235,18,1,0,2,8,14,0,0,0,1,0,0,1.6398675504146123,4.0
1236,18,1,1,3,8,2,0,0,0,1,0,0,2.511743020605421,2.0
1237,16,1,0,2,5,0,0,3,0,0,1,0,2.9839199495864985,2.0
1238,16,0,0,2,16,25,1,2,0,0,1,0,1.25865485443205,4.0
1239,17,0,1,4,9,23,1,2,0,0,0,0,1.4179299273727557,4.0
1240,18,0,2,2,10,16,0,1,1,0,1,0,1.5970165723817666,4.0
1241,16,0,0,3,6,2,1,2,0,1,0,0,3.08869986818596,1.0
1242,17,1,0,2,3,13,0,0,1,1,0,0,1.6413414427787147,4.0
1243,18,1,2,1,1,2,0,2,0,1,0,0,2.5868706562634283,2.0
1244,15,1,1,0,14,12,1,2,0,0,0,0,2.389032645212185,3.0
1245,17,0,3,2,3,14,0,2,1,0,0,0,1.8981464002812247,4.0
1246,16,1,2,1,13,17,0,4,0,1,0,0,2.1104879749817496,3.0
1247,15,1,3,1,7,13,0,2,0,0,0,0,1.7002735894049137,4.0
1248,15,1,2,2,8,20,0,2,1,0,0,0,1.0444999950877136,4.0
1249,15,0,0,2,9,25,0,2,0,1,0,0,1.1941661337644758,4.0
1250,17,1,0,2,7,2,0,1,0,0,1,0,2.6491368281965504,2.0
1251,16,0,2,1,2,18,0,3,0,1,0,0,1.2341413889277302,4.0
1252,15,0,1,1,6,7,0,2,1,0,0,0,2.127408865912826,3.0
1253,18,0,0,2,13,3,1,1,1,0,0,0,2.913887649138132,2.0
1254,15,0,0,4,13,3,0,3,0,0,0,1,3.119393913150377,1.0
1255,15,1,3,2,5,18,1,0,0,0,0,0,1.0363787383257312,4.0
1256,17,0,1,3,9,10,0,4,1,0,0,1,2.403284547023526,3.0
1257,17,0,0,2,3,0,1,3,0,0,0,0,3.1565080639094454,1.0
1258,16,1,0,2,4,7,1,2,0,1,1,0,2.723471858740064,2.0
1259,18,1,0,1,0,14,0,1,1,1,0,0,1.5309511463109082,4.0
1260,17,0,0,2,17,0,0,1,0,0,0,0,3.468581349135728,1.0
1261,15,1,0,2,4,6,0,1,1,0,0,0,2.3020320443414053,3.0
1262,16,0,0,2,4,20,1,1,1,0,0,0,1.265677909199434,4.0
1263,15,0,2,2,5,19,0,2,1,1,0,1,1.479602227739032,4.0
1264,15,0,0,2,2,19,0,4,0,0,1,1,1.4450767191993792,4.0
1265,17,0,2,1,12,23,0,2,0,0,0,0,0.8094338103684621,4.0
1266,16,1,2,2,1,10,1,3,0,0,0,0,2.1502332699887816,3.0
1267,18,0,0,1,2,26,0,3,0,0,0,0,0.5591437155118445,4.0
1268,18,1,1,3,12,28,0,3,0,0,0,0,0.5807884851770568,4.0
1269,17,1,0,1,6,13,0,0,0,1,1,1,1.602089195984674,4.0
1270,17,1,2,0,14,21,1,2,0,1,0,0,1.0027983635819373,4.0
1271,16,1,0,2,11,15,0,3,0,0,0,0,1.6630634531990602,4.0
1272,18,0,1,2,5,13,0,3,0,0,0,1,1.5315464597195698,4.0
1273,18,1,1,2,13,11,0,4,0,0,0,0,2.205842147030335,3.0
1274,18,0,0,1,2,16,0,3,0,0,0,1,1.155338560965664,4.0
1275,15,1,0,2,10,13,1,1,0,0,0,0,2.153758339869399,3.0
1276,18,1,1,1,8,9,0,2,1,0,0,1,2.592786686317039,2.0
1277,15,0,2,3,5,23,0,0,1,1,0,0,0.9123305070955544,4.0
1278,16,0,0,3,12,28,1,3,0,0,0,0,0.6956309334599464,4.0
1279,15,0,1,2,17,13,1,2,0,0,0,0,2.139619891368985,3.0
1280,16,1,0,1,19,17,0,3,0,0,0,0,1.5504493308923313,4.0
1281,18,1,2,2,12,21,0,4,0,0,0,1,1.5475367003506038,4.0
1282,18,0,0,0,8,8,1,3,0,0,1,0,2.966548034294946,2.0
1283,16,0,2,2,4,16,0,2,1,0,0,1,1.6336793710032238,4.0
1284,17,0,0,1,5,5,1,1,0,0,0,0,2.3325403195354064,3.0
1285,16,0,0,3,9,7,1,3,1,1,1,0,3.270262309404739,1.0
1286,17,1,0,0,7,25,0,1,0,0,0,0,0.3464705925902769,4.0
1287,15,0,0,2,18,12,1,1,0,0,0,0,1.8949043363401072,4.0
1288,15,0,1,2,7,17,0,1,0,0,0,0,1.4567426010872695,4.0
1289,15,0,0,2,7,4,0,2,1,0,0,0,2.5537231512721896,2.0
1290,18,0,2,0,7,5,0,1,0,0,0,0,2.224197461212005,3.0
1291,15,1,0,4,16,20,1,4,0,1,1,0,1.8476004181084256,4.0
1292,17,0,0,2,13,18,0,4,1,0,0,0,1.849760707133483,4.0
1293,15,1,0,2,12,3,0,4,0,0,1,0,3.268794215560215,1.0
1294,16,0,0,1,6,6,1,0,0,0,0,1,2.546516637246023,2.0
1295,16,0,0,2,16,3,0,4,0,0,0,0,3.1012292205041274,1.0
1296,18,1,0,2,0,24,0,4,0,0,1,0,0.6559540779626771,4.0
1297,16,0,0,0,17,10,1,4,0,1,0,0,3.088512305616677,1.0
1298,17,1,0,1,10,11,1,3,0,0,0,0,1.992559805482,4.0
1299,15,1,1,3,7,13,1,3,0,1,0,0,2.605247445547851,2.0
1300,18,0,1,1,9,12,1,1,0,0,0,0,1.7339724542334658,4.0
1301,15,1,0,1,13,28,0,3,1,0,0,0,1.11384878785912,4.0
1302,15,1,0,2,0,9,0,0,1,0,0,0,1.6492502516618042,4.0
1303,17,1,3,2,17,17,0,2,0,0,0,0,1.3375549802098765,4.0
1304,16,1,1,0,8,15,0,4,0,0,0,0,1.9846599185571745,4.0
1305,16,1,1,2,6,4,0,2,0,1,1,0,3.060881655966949,1.0
1306,15,1,0,1,2,7,1,1,0,0,0,0,2.3928973584250004,3.0
1307,18,1,2,0,8,13,0,4,0,0,0,0,2.0837969900967988,3.0
1308,16,1,2,0,9,4,0,4,0,1,0,1,3.64573804877044,0.0
1309,18,0,1,3,8,25,0,1,1,0,0,0,0.322286081625407,4.0
1310,16,0,3,1,13,27,0,3,0,1,0,0,1.129514334361546,4.0
1311,18,1,0,0,8,23,0,2,1,0,0,0,0.6307569438666114,4.0
1312,17,0,0,2,19,7,0,2,0,0,1,1,3.157229638804093,1.0
1313,18,1,2,3,11,24,0,1,0,0,0,0,0.680087787496653,4.0
1314,17,1,2,1,16,25,0,0,0,0,0,0,0.7963598478866475,4.0
1315,17,0,0,2,2,5,1,1,0,1,0,0,2.844039214925591,2.0
1316,18,1,0,0,7,15,1,0,0,1,0,0,1.253451854215859,4.0
1317,17,1,0,2,6,27,0,4,0,0,0,0,0.534508880538856,4.0
1318,15,1,0,2,11,3,1,3,1,0,0,0,3.191046118219917,1.0
1319,17,1,2,2,17,11,0,3,0,0,1,0,2.81542127530912,2.0
1320,16,0,1,1,1,10,0,3,0,0,0,0,2.1571223032650955,3.0
1321,18,1,0,1,1,2,0,1,1,0,0,0,2.7238280604010647,2.0
1322,15,1,0,1,17,11,0,4,1,0,0,0,2.627693905554347,2.0
1323,18,1,0,1,4,29,1,3,1,1,0,0,0.9124156208354256,4.0
1324,16,0,0,0,13,4,0,2,0,0,0,0,2.609623081817451,2.0
1325,16,1,1,2,10,5,1,1,0,1,0,0,2.981992255406158,2.0
1326,16,0,3,4,16,18,0,3,0,0,0,0,1.625082773696198,4.0
1327,17,0,2,4,2,17,0,3,0,1,0,0,1.3616984178594074,4.0
1328,17,1,0,3,2,15,1,3,0,0,0,0,1.9169618961294344,4.0
1329,18,1,2,2,11,22,0,0,0,0,0,0,1.011253194616751,4.0
1330,18,0,2,2,18,10,0,1,1,1,0,0,2.3321590405051187,3.0
1331,15,1,2,1,8,4,0,2,1,1,1,0,3.387938347765993,1.0
1332,15,0,0,2,6,8,0,3,0,1,0,0,2.384690791358408,3.0
1333,18,0,0,2,12,2,0,0,0,0,0,0,2.7808169956104924,2.0
1334,17,1,0,2,18,29,0,2,0,1,0,1,0.5348357535394734,4.0
1335,16,1,0,2,16,7,0,2,0,0,0,0,2.542214348782037,2.0
1336,18,0,0,1,19,5,0,3,0,0,0,0,3.0071290674312805,1.0
1337,15,0,0,1,0,3,0,2,1,0,0,0,2.9858098143768106,2.0
1338,17,0,0,3,2,11,0,2,0,1,0,0,1.9493060573283008,4.0
1339,18,0,2,0,12,11,0,3,0,0,0,0,2.1478451963634986,3.0
1340,18,1,0,2,16,24,0,4,0,0,0,1,1.1757680252358405,4.0
1341,17,1,0,3,5,20,0,1,1,0,0,0,1.4003632540944204,4.0
1342,18,1,3,2,4,15,0,1,1,0,1,0,1.7555440233413917,4.0
1343,17,1,3,2,15,9,0,4,1,0,1,0,2.900096239205548,2.0
1344,16,1,2,1,1,21,0,2,0,0,0,0,1.0334594906901564,4.0
1345,17,0,3,1,7,13,0,3,0,0,0,1,1.907742363387151,4.0
1346,17,1,1,3,10,12,0,3,0,0,0,0,1.880909289765476,4.0
1347,17,1,3,2,11,8,0,1,0,1,1,0,2.614950353949793,2.0
1348,18,1,0,2,14,6,0,3,1,0,1,0,3.1071355935726115,1.0
1349,18,1,0,0,7,11,0,3,0,0,0,0,1.3864645615000095,4.0
